Date,sentiment_score
01-Feb-18,
02-Feb-18,-0.5
03-Feb-18,1.6666666666666665
04-Feb-18,-0.4
05-Feb-18,-0.5416666666666667
06-Feb-18,-0.2727272727272727
07-Feb-18,3.5
08-Feb-18,-0.16666666666666663
09-Feb-18,0.46666666666666656
10-Feb-18,0.2272727272727273
11-Feb-18,-0.42592592592592593
12-Feb-18,0.35483870967741926
13-Feb-18,-0.16666666666666663
14-Feb-18,0.5714285714285714
15-Feb-18,0.290909090909091
16-Feb-18,-0.05633802816901412
17-Feb-18,0.10447761194029859
18-Feb-18,-0.14864864864864868
19-Feb-18,0.06349206349206349
20-Feb-18,0.10447761194029859
21-Feb-18,-0.2702702702702703
22-Feb-18,-0.18518518518518523
23-Feb-18,-0.11363636363636365
24-Feb-18,-0.20512820512820518
25-Feb-18,0.06451612903225801
26-Feb-18,0.1212121212121211
27-Feb-18,0.18918918918918926
28-Feb-18,-0.06818181818181823
01-Mar-18,-0.07317073170731703
02-Mar-18,0.23684210526315796
03-Mar-18,0.1914893617021276
04-Mar-18,-0.2142857142857143
05-Mar-18,0.25
06-Mar-18,0.07272727272727275
07-Mar-18,-0.3728813559322034
08-Mar-18,0.054054054054053946
09-Mar-18,-0.05128205128205132
10-Mar-18,0.054054054054053946
11-Mar-18,0.02564102564102555
12-Mar-18,0.02499999999999991
13-Mar-18,0.0
14-Mar-18,-0.024390243902439046
15-Mar-18,-0.19999999999999996
16-Mar-18,0.03125
17-Mar-18,-0.06060606060606055
18-Mar-18,-0.06451612903225812
19-Mar-18,0.0
20-Mar-18,0.27586206896551735
21-Mar-18,-0.027027027027026973
22-Mar-18,0.0
23-Mar-18,-0.2222222222222222
24-Mar-18,0.1428571428571428
25-Mar-18,-0.0625
26-Mar-18,0.03333333333333344
27-Mar-18,-0.22580645161290325
28-Mar-18,0.0
29-Mar-18,-0.25
30-Mar-18,-0.33333333333333337
31-Mar-18,0.33333333333333326
01-Apr-18,0.0
02-Apr-18,-0.3125
03-Apr-18,1.0
04-Apr-18,0.0
05-Apr-18,-0.2272727272727273
06-Apr-18,0.11764705882352944
07-Apr-18,0.05263157894736836
08-Apr-18,-0.15000000000000002
09-Apr-18,0.23529411764705888
10-Apr-18,-0.1428571428571429
11-Apr-18,0.11111111111111116
12-Apr-18,-0.09999999999999998
13-Apr-18,0.2777777777777777
17-Apr-18,0.13043478260869557
18-Apr-18,-0.07692307692307687
19-Apr-18,0.04166666666666674
20-Apr-18,0.040000000000000036
21-Apr-18,0.23076923076923084
22-Apr-18,-0.03125
23-Apr-18,-0.09677419354838712
24-Apr-18,0.03571428571428581
25-Apr-18,1.206896551724138
26-Apr-18,-0.265625
27-Apr-18,0.17021276595744683
28-Apr-18,-0.018181818181818188
29-Apr-18,0.12962962962962954
30-Apr-18,-0.032786885245901676
01-May-18,-0.05084745762711862
02-May-18,-0.0714285714285714
03-May-18,0.05769230769230771
04-May-18,0.018181818181818077
05-May-18,0.125
06-May-18,0.06349206349206349
07-May-18,-0.16417910447761197
08-May-18,0.1071428571428572
09-May-18,-0.14516129032258063
10-May-18,0.18867924528301883
11-May-18,-0.3492063492063492
12-May-18,0.07317073170731714
13-May-18,-0.09090909090909094
14-May-18,0.0
15-May-18,0.0
16-May-18,-0.19999999999999996
17-May-18,-0.03125
18-May-18,0.19354838709677424
19-May-18,-0.16216216216216217
20-May-18,0.032258064516129004
21-May-18,0.28125
22-May-18,-0.2682926829268293
23-May-18,-0.1333333333333333
24-May-18,0.03846153846153855
25-May-18,-0.07407407407407407
26-May-18,-0.07999999999999996
27-May-18,-0.17391304347826086
28-May-18,0.1578947368421053
29-May-18,-0.2727272727272727
30-May-18,1.375
31-May-18,-0.3421052631578947
01-Jun-18,-0.040000000000000036
02-Jun-18,0.125
03-Jun-18,0.4814814814814814
04-Jun-18,0.02499999999999991
05-Jun-18,-0.36585365853658536
06-Jun-18,0.6153846153846154
07-Jun-18,-0.09523809523809523
08-Jun-18,0.05263157894736836
09-Jun-18,-0.025000000000000022
10-Jun-18,-0.3846153846153846
11-Jun-18,-0.375
12-Jun-18,0.2666666666666666
13-Jun-18,0.0
14-Jun-18,-0.10526315789473684
15-Jun-18,0.5294117647058822
16-Jun-18,-0.15384615384615385
17-Jun-18,0.045454545454545414
18-Jun-18,0.17391304347826098
19-Jun-18,0.18518518518518512
20-Jun-18,0.0625
21-Jun-18,0.08823529411764697
22-Jun-18,-0.2432432432432432
23-Jun-18,-0.3928571428571429
24-Jun-18,-0.11764705882352944
25-Jun-18,0.06666666666666665
26-Jun-18,0.3125
27-Jun-18,-0.1428571428571429
28-Jun-18,0.11111111111111116
29-Jun-18,-0.19999999999999996
30-Jun-18,0.375
01-Jul-18,0.2272727272727273
02-Jul-18,0.0
03-Jul-18,0.14814814814814814
04-Jul-18,0.06451612903225801
05-Jul-18,0.1212121212121211
06-Jul-18,-0.08108108108108103
07-Jul-18,0.0
08-Jul-18,0.11764705882352944
09-Jul-18,0.026315789473684292
10-Jul-18,-0.05128205128205132
11-Jul-18,-0.21621621621621623
12-Jul-18,0.13793103448275867
13-Jul-18,-0.12121212121212122
14-Jul-18,0.0
15-Jul-18,0.10344827586206895
16-Jul-18,0.125
17-Jul-18,0.08333333333333326
18-Jul-18,0.07692307692307687
19-Jul-18,0.04761904761904767
20-Jul-18,0.06818181818181812
21-Jul-18,-0.08510638297872342
22-Jul-18,0.06976744186046502
23-Jul-18,-0.04347826086956519
24-Jul-18,0.11363636363636354
25-Jul-18,0.1020408163265305
26-Jul-18,-0.01851851851851849
